appname,freq,correct_appname
om whatsapp,1,
om twitch,1,
oe youtube   i,1,
wd whatsapp 5,1,
we 33,1,
we mail,1,
we mel,1,
we netflix,1,
oe coloring match 5,1,
mz mail,1,
mz wet y,1,
we real racing 3 ,1,
yd,1,
oe chrome,1,
oe brawl stars,1,
oe 67,1,
n tiktok,1,
oe youtube 4,1,
oe youtube 5,1,
mywellness,1,
offline raver,1,
om 19,1,
oo   39,1,
om  3til,1,
oll s gs,1,
youtube   2,1,
wa fotocamera 5,1,
offline player y,1,
way wattpad,1,
offline player,1,
youtu ee,1,
water sort puzzle,1,
ye hay day 5,1,
my mini mart y,1,
oe youtube i,1,
w telefono x,1,
oo 91,1,
youtube vanced th15m,1,
vayllo,1,
oq messaggi,1,
oq galleria ny,1,
ve  clash royale,1,
ve  episode y,1,
oq galleria 2,1,
oq ethica ,1,
oq ethica,1,
oq arsespp,1,
oq  pp,1,
zedge,1,
ve episode,1,
mpostaziont,1,
mr whatsapp,1,
op tiktok x,1,
zd clash royale,1,
oq pp,1,
oq whatsapp 5,1,
ven 11 mar,1,
oqafar,1,
v  235,1,
v  30,1,
zs  hay day,1,
v  38 4,1,
v  ep 14,1,
v  ne 14,1,
zenl,1,
v  ne ao,1,
val ra ntramn,1,
orer,1,
mpostazion,1,
or 3   6,1,
vartiiha,1,
vas,1,
vas episode y,1,
op tiktok   2,1,
oo zalando,1,
oo 108,1,
z,1,
w  real racing 3 th18m,1,
oo google play store,1,
yt music,1,
oo google play sto    ,1,
yr n,1,
w  real racing 3 th33m,1,
ypt,1,
w  whatsapp,1,
w 13,1,
w 33,1,
w mappe,1,
oe 55,1,
oo 86,1,
oo 20,1,
w p,1,
w  real racing 3 ,1,
oo messaggi,1,
vlc,1,
w  real racing 3,1,
zc tiktok,1,
ms,1,
mth 10,1,
vorcaal 5,1,
voveusnse 8,1,
vv,1,
vy,1,
vy  36 4,1,
oo tiktok,1,
mult anm,1,
oo netflix ,1,
vy twitter   a,1,
vy twitter y,1,
musi,1,
w   keynote,1,
oe 60,1,
oe 19,1,
yas,1,
words  ladders ,1,
not,1,
wootifiche,1,
word,1,
y  150,1,
o photos,1,
o netflix,1,
o messaggi y,1,
o messaggi x,1,
y  240 4,1,
wow,1,
wp,1,
o melke,1,
y   whatsapp,1,
o melee,1,
o guitar tuner,1,
o game launcher ,1,
nonogram com,1,
no 3,1,
woe ee ee 255,1,
o youtube 5,1,
oa 61,1,
oa 51,1,
oa 44,1,
oa 289,1,
oa 24,1,
oa 171,1,
wo 38,1,
oa 110,1,
wo 414,1,
nl legions 4,1,
nn ixpand drive,1,
y  193,1,
o7,1,
o2,1,
nn oe oer,1,
o foto,1,
note 4,1,
o ethica 4,1,
xs,1,
ww wattpad y,1,
wx facetime,1,
xq whatsapp,1,
o  s12  cbd 5,1,
xd tiktok y,1,
o  orologio ,1,
o  orologio,1,
wy,1,
o  14,1,
wy tiktok,1,
o   9,1,
o      84,1,
x,1,
notitiche ricevute,1,
nu,1,
ww p,1,
